温度（摄氏度）,电流（毫安）,电压（伏特）,功率（毫瓦）,颜色
35,0,1.4,0,红色
35,5,1.6,1.89,
35,10,1.7,3.88,
35,15,1.7,5.67,
35,20,1.7,7.48,
35,25,1.7,8.92,
35,30,1.8,10.29,
35,35,1.8,11.47,
