线圈电流（安培）,检偏器角度（度）,光强（安培）
2,0,13.73
2,10,1.25
2,20,15.13
2,30,58.6
2,40,119.3
2,50,203
2,60,289
2,70,375
2,80,440
2,90,484
2,100,498
2,110,483
2,120,441
2,130,374
2,140,286
2,150,203
2,160,118
2,170,54.1
2,180,14.18
2,190,0.69
2,200,16.2
2,210,58
2,220,123.8
2,230,197.2
2,240,284
2,250,362
2,260,421
2,270,461
2,280,472
2,290,454
2,300,414
2,310,349
2,320,271
2,330,186.5
2,340,110.6
2,350,53.3
