温度（摄氏度）,电流（毫安）,电压（伏特）,功率（毫瓦）,颜色
25,0,2.7,0,紫色
25,10,3.1,2.89,
25,20,3.1,5.52,
25,30,3.2,7.54,
25,40,3.3,9.13,
25,50,3.3,10.22,
25,60,3.4,10.3,
25,70,3.4,11.03,
