线圈电流（安培）,检偏器角度（度）,光强（安培）
2,0,44
2,10,18.35
2,20,4.82
2,30,7.37
2,40,25.7
2,50,58.1
2,60,101.2
2,70,150.7
2,80,196.4
2,90,240
2,100,268
2,110,283
2,120,280
2,130,261
2,140,225
2,150,179.1
2,160,132.1
2,170,86.7
2,180,48.2
2,190,18.29
2,200,4.34
2,210,7.48
2,220,26.1
2,230,59.3
2,240,100.3
2,250,141.5
2,260,190.1
2,270,229
2,280,255
2,290,267
2,300,263
2,310,247
2,320,214
2,330,174.2
2,340,128.6
2,350,86.5
