温度（摄氏度）,电流（毫安）,电压（伏特）,功率（毫瓦）,颜色
65,0,1.4,0,红色
65,5,1.6,1.56,
65,10,1.6,3.2,
65,15,1.7,4.71,
65,20,1.7,6.17,
65,25,1.7,7.49,
65,30,1.7,8.65,
65,35,1.8,9.67,
