温度（摄氏度）,电流（毫安）,电压（伏特）,功率（毫瓦）,颜色
25,0,2.1,0,绿色
25,10,2.7,6.54,
25,20,2.9,9.79,
25,30,3,12.12,
25,40,3.1,13.81,
25,50,3.2,14.71,
25,60,3.3,15.86,
25,70,3.5,17.52,
