温度（摄氏度）,电流（毫安）,电压（伏特）,功率（毫瓦）,颜色
25,0,1.6,0,黄色
25,10,1.9,1.24,
25,20,2,2.31,
25,30,2,3.05,
25,40,2,3.48,
25,50,2,3.61,
25,60,2,3.4,
25,70,2,3.33,
