线圈电流（安培）,检偏器角度（度）,光强（安培）
-2,0,4.55
-2,10,17.82
-2,20,46.3
-2,30,85.4
-2,40,131.5
-2,50,180.5
-2,60,227
-2,70,262
-2,80,282
-2,90,285
-2,100,272
-2,110,242
-2,120,201
-2,130,150.1
-2,140,100.9
-2,150,60.7
-2,160,26.2
-2,170,7.25
-2,180,4.24
-2,190,15.33
-2,200,45.1
-2,210,85.3
-2,220,130.6
-2,230,176.6
-2,240,218
-2,250,250
-2,260,267
-2,270,268
-2,280,255
-2,290,226
-2,300,185.5
-2,310,139.9
-2,320,95.2
-2,330,53.5
-2,340,23.2
-2,350,7.25
