线圈电流（安培）,磁场强度（毫特斯拉）
0,0
0.3,0
0.6,0
0.9,0
1.2,0
1.5,0
1.8,0
2,0
0,0
-0.3,0
-0.6,0
-0.9,0
-1.2,0
-1.5,0
-1.8,0
-2,0
